code,subject,domain,grade,description
2바01-04,바른생활,우리는 누구로 살아갈까,1-2학년군,생태환경에서 더불어 살기 위해 노력한다.
2바02-01,바른생활,우리는 어디서 살아갈까,1-2학년군,공동체에서 내가 할 수 있는 일을 찾아보고 실천한다.
2바02-02,바른생활,우리는 어디서 살아갈까,1-2학년군,우리나라의 소중함을 알고 사랑하는 마음을 기른다.
2바02-03,바른생활,우리는 어디서 살아갈까,1-2학년군,차이나 다양성을 서로 존중하면서 생활한다.
2바02-04,바른생활,우리는 어디서 살아갈까,1-2학년군,새로운 활동에 호기심을 갖고 도전한다.
2바03-01,바른생활,우리는 지금 어떻게 살아갈까,1-2학년군,하루의 가치를 느끼며 지금을 소중히 여긴다.
2바03-02,바른생활,우리는 지금 어떻게 살아갈까,1-2학년군,계절의 변화에 대응하며 생활한다.
2바03-03,바른생활,우리는 지금 어떻게 살아갈까,1-2학년군,여러 인물의 삶을 통해 공동체성을 기른다.
2바03-04,바른생활,우리는 지금 어떻게 살아갈까,1-2학년군,공동체 속에서 지속가능성을 위한 삶의 방식을 찾아 실천한다.
2바04-01,바른생활,우리는 무엇을 하며 살아갈까,1-2학년군,모두를 위한 생활환경을 만드는 데 참여한다.
2바04-02,바른생활,우리는 무엇을 하며 살아갈까,1-2학년군,다양한 생각이나 의견에 대해 개방적인 태도를 형성한다.
2바04-03,바른생활,우리는 무엇을 하며 살아갈까,1-2학년군,여럿이 하는 활동에 관심을 갖고 자발적으로 협력한다.
2바04-04,바른생활,우리는 무엇을 하며 살아갈까,1-2학년군,지금까지의 생활 습관과 학습 습관을 되돌아본다.
2수01-01,수학,수와 연산,1-2학년군,"수의 필요성을 인식하면서 0과 100까지의 수 개념을 이해하고, 수를 세고 읽고 쓸 수 있다."
2수01-02,수학,수와 연산,1-2학년군,"일, 십, 백, 천의 자릿값과 위치적 기수법을 이해하고, 네 자리 이하의 수를 읽고 쓸 수 있다."
2수01-03,수학,수와 연산,1-2학년군,"네 자리 이하의 수의 범위에서 수의 계열을 이해하고, 수의 크기를 비교할 수 있다."
2수01-04,수학,수와 연산,1-2학년군,하나의 수를 두 수로 분해하고 두 수를 하나의 수로 합성하는 활동을 통하여 수 감각을 기른다.
2수01-05,수학,수와 연산,1-2학년군,덧셈과 뺄셈이 이루어지는 실생활 상황과 연결하여 덧셈과 뺄셈의 의미를 이해한다.
2수01-06,수학,수와 연산,1-2학년군,두 자리 수의 범위에서 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.
2수01-07,수학,수와 연산,1-2학년군,덧셈과 뺄셈의 관계를 이해한다.
2수01-08,수학,수와 연산,1-2학년군,두 자리 수의 범위에서 세 수의 덧셈과 뺄셈을 할 수 있다.
2수01-09,수학,수와 연산,1-2학년군,"□가 사용된 덧셈식과 뺄셈식을 만들고, □의 값을 구할 수 있다."
2수01-10,수학,수와 연산,1-2학년군,곱셈이 이루어지는 실생활 상황과 연결하여 곱셈의 의미를 이해한다.
2수01-11,수학,수와 연산,1-2학년군,"곱셈구구를 이해하고, 한 자리 수의 곱셈을 할 수 있다."
2수02-01,수학,변화와 관계,1-2학년군,"물체, 무늬, 수 등의 배열에서 규칙을 찾아 여러 가지 방법으로 표현할 수 있다."
2수02-02,수학,변화와 관계,1-2학년군,"자신이 정한 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다."
2수03-01,수학,도형과 측정,1-2학년군,"교실 및 생활 주변에서 여러 가지 물건을 관찰하여 직육면체, 원기둥, 구의 모양을 찾고, 이를 이용하여 여러 가지 모양을 만들 수 있다."
2수03-02,수학,도형과 측정,1-2학년군,"쌓기나무를 이용하여 여러 가지 입체도형의 모양을 만들고, 그 모양에 대해 위치나 방향을 이용하여 말할 수 있다."
2수03-03,수학,도형과 측정,1-2학년군,"교실 및 생활 주변에서 여러 가지 물건을 관찰하여 삼각형, 사각형, 원의 모양을 찾고, 이를 이용하여 여러 가지 모양을 만들 수 있다."
2수03-04,수학,도형과 측정,1-2학년군,"삼각형, 사각형, 원을 직관적으로 이해하고, 그 모양을 그릴 수 있다."
2수03-05,수학,도형과 측정,1-2학년군,"삼각형, 사각형에서 각각의 공통점을 찾아 말할 수 있다."
2수03-06,수학,도형과 측정,1-2학년군,"구체물의 길이, 들이, 무게, 넓이를 비교하여 각각 ‘길다, 짧다’, ‘많다, 적다’, ‘무겁다, 가볍다’, ‘넓다, 좁다’ 등을 구별하여 말할 수 있다."
2수03-07,수학,도형과 측정,1-2학년군,시계를 보고 시각을 ‘몇 시 몇 분’까지 읽을 수 있다.
2수03-08,수학,도형과 측정,1-2학년군,"1시간과 1분의 관계를 이해하고, 시간을 ‘시간’, ‘분’으로 표현할 수 있다."
2수03-09,수학,도형과 측정,1-2학년군,"실생활 문제 상황과 연결하여 1분, 1시간, 1일, 1주일, 1개월, 1년 사이의 관계를 이해한다."
2수03-10,수학,도형과 측정,1-2학년군,"길이 단위 1cm와 1m를 알고, 이를 이용하여 주변 사물의 길이를 측정할 수 있다."
2수03-11,수학,도형과 측정,1-2학년군,"1m와 1cm의 관계를 이해하고, 길이를 ‘몇 m 몇 cm’와 ‘몇 cm’로 표현할 수 있다."
2수03-12,수학,도형과 측정,1-2학년군,"여러 가지 물건의 길이를 어림하고, 길이에 대한 양감을 기른다."
2수03-13,수학,도형과 측정,1-2학년군,실생활 문제 상황과 연결하여 길이의 덧셈과 뺄셈을 할 수 있다.
2수04-01,수학,자료와 가능성,1-2학년군,"여러 가지 사물을 정해진 기준 또는 자신이 정한 기준으로 분류하여 개수를 세어 보고, 기준에 따른 결과를 말할 수 있다."
2수04-02,수학,자료와 가능성,1-2학년군,"자료를 분류하여 표로 나타내고, 자료를 표로 나타내면 편리한 점을 말할 수 있다."
2수04-03,수학,자료와 가능성,1-2학년군,"자료를 분류하여 ○, ×, / 등을 이용한 그래프로 나타내고, 자료를 그래프로 나타내면 편리한 점을 말할 수 있다."
2슬01-01,슬기로운생활,우리는 누구로 살아갈까,1-2학년군,학교 안팎의 모습과 생활을 탐색하며 안전한 학교 생활을 한다.
2슬01-02,슬기로운생활,우리는 누구로 살아갈까,1-2학년군,나를 탐색하여 나에 대해 설명한다.
2슬01-03,슬기로운생활,우리는 누구로 살아갈까,1-2학년군,가족이나 주변 사람에게 관심을 갖고 함께 살아가는 모습을 탐구한다.
2슬01-04,슬기로운생활,우리는 누구로 살아갈까,1-2학년군,"사람과 자연, 동식물이 어우러져 사는 생태를 탐구한다."
2슬02-01,슬기로운생활,우리는 어디서 살아갈까,1-2학년군,우리가 살고 있는 마을과 사람들이 생활하는 모습을 살펴본다.
2슬02-02,슬기로운생활,우리는 어디서 살아갈까,1-2학년군,우리나라의 모습이나 문화를 조사한다.
2슬02-03,슬기로운생활,우리는 어디서 살아갈까,1-2학년군,알고 싶은 나라를 탐구하며 다른 나라에 관심을 갖는다.
2슬02-04,슬기로운생활,우리는 어디서 살아갈까,1-2학년군,궁금한 세계를 다양한 매체로 탐색한다.
2슬03-01,슬기로운생활,우리는 지금 어떻게 살아갈까,1-2학년군,하루의 변화와 사람들이 하루를 살아가는 모습을 탐색한다.
2슬03-02,슬기로운생활,우리는 지금 어떻게 살아갈까,1-2학년군,계절과 생활의 관계를 탐구한다.
2슬03-03,슬기로운생활,우리는 지금 어떻게 살아갈까,1-2학년군,관심 있는 대상의 과거와 현재를 살펴보고 미래를 상상한다.
2슬03-04,슬기로운생활,우리는 지금 어떻게 살아갈까,1-2학년군,우리의 생활과 관련된 지속가능성의 다양한 사례를 찾고 탐색한다.
2슬04-01,슬기로운생활,우리는 무엇을 하며 살아갈까,1-2학년군,생활도구의 모양이나 기능을 탐색하고 바꾸어본다.
2슬04-02,슬기로운생활,우리는 무엇을 하며 살아갈까,1-2학년군,상상한 것을 다양한 매체와 재료로 구현한다.
2슬04-03,슬기로운생활,우리는 무엇을 하며 살아갈까,1-2학년군,경험한 것 중에서 관심 있는 주제를 정하고 조사한다.
2슬04-04,슬기로운생활,우리는 무엇을 하며 살아갈까,1-2학년군,배운 것과 배울 것을 연결하며 앞으로의 배움을 상상한다.
2즐01-01,즐거운생활,우리는 누구로 살아갈까,1-2학년군,"즐겁게 놀이하며, 건강하고 안전하게 생활한다."
2즐01-02,즐거운생활,우리는 누구로 살아갈까,1-2학년군,놀이하며 내 몸의 움직임이나 감각을 느낀다.
2즐01-03,즐거운생활,우리는 누구로 살아갈까,1-2학년군,가족이나 주변 사람과 소통하며 어울린다.
2즐01-04,즐거운생활,우리는 누구로 살아갈까,1-2학년군,우리를 둘러싼 자연의 아름다움을 감상한다.
2즐02-01,즐거운생활,우리는 어디서 살아갈까,1-2학년군,내가 참여할 수 있는 문화 예술을 향유한다.
2즐02-02,즐거운생활,우리는 어디서 살아갈까,1-2학년군,우리나라의 문화 예술을 즐긴다.
2즐02-03,즐거운생활,우리는 어디서 살아갈까,1-2학년군,다른 나라의 문화 예술을 체험한다.
2즐02-04,즐거운생활,우리는 어디서 살아갈까,1-2학년군,다양한 세상을 상상하고 표현한다.
2즐03-01,즐거운생활,우리는 지금 어떻게 살아갈까,1-2학년군,하루를 건강하고 활기차게 지낸다.
2즐03-02,즐거운생활,우리는 지금 어떻게 살아갈까,1-2학년군,자연의 변화를 느끼며 놀이한다.
2즐03-03,즐거운생활,우리는 지금 어떻게 살아갈까,1-2학년군,전통문화를 새롭게 표현한다.
2즐03-04,즐거운생활,우리는 지금 어떻게 살아갈까,1-2학년군,안전과 안녕을 위한 아동의 권리가 있음을 알고 누린다.
2즐04-01,즐거운생활,우리는 무엇을 하며 살아갈까,1-2학년군,주변의 물건을 활용하여 놀잇감을 만든다.
2즐04-02,즐거운생활,우리는 무엇을 하며 살아갈까,1-2학년군,자유롭게 상상하며 놀이한다.
2즐04-03,즐거운생활,우리는 무엇을 하며 살아갈까,1-2학년군,생각이나 느낌을 살려 전시나 공연 활동을 한다.
2즐04-04,즐거운생활,우리는 무엇을 하며 살아갈까,1-2학년군,기억에 남는 경험을 떠올리며 의미를 부여한다.
