standard_code,level,variant_no,template_text
6국04-04,잘함,2,"문장 성분 사이의 호응을 살펴 어색한 표현을 바로잡아 쓰는 모습이 나타남."
6국04-04,보통,1,"문장 성분과 호응 관계를 이해하며 올바른 문장을 만들어 보려 노력함."
6국04-04,보통,2,"문장 속 호응 관계를 살펴 바르게 고쳐 쓰는 연습에 꾸준히 참여하는 모습을 보임."
6국05-02,매우잘함,1,"작품 속 비유적 표현의 효과를 깊이 있게 이해하고 그 의미를 풍부하게 해석하며 감상함."
6국05-02,매우잘함,2,"작품에 쓰인 비유적 표현이 주는 느낌과 효과를 섬세하게 포착하여 감상하는 문학적 감수성이 뛰어남."
6국05-02,잘함,1,"작품 속 비유적 표현에 관심을 가지고 그 효과를 이해하며 작품을 감상함."
6국05-02,잘함,2,"비유적 표현이 주는 느낌을 살려 작품을 감상하려는 모습이 잘 나타남."
6국05-02,보통,1,"작품 속 비유적 표현에 관심을 가지고 이해해 보려는 태도를 보임."
6국05-02,보통,2,"비유적 표현의 의미를 헤아려 보며 작품을 감상하는 경험을 점차 쌓아가는 모습을 보임."
6수01-01,매우잘함,1,"사칙연산이 혼합된 식에서 계산 순서의 원리를 정확히 이해하고 논리적으로 설명하며 능숙하게 계산함."
6수01-01,매우잘함,2,"덧셈, 뺄셈, 곱셈, 나눗셈이 섞인 복잡한 혼합 계산도 순서를 정확히 적용하여 오류 없이 해결함."
6수01-01,잘함,1,"사칙연산 혼합 계산에서 계산 순서를 이해하고 이를 적용하여 문제를 바르게 해결함."
6수01-01,잘함,2,"덧셈, 뺄셈, 곱셈, 나눗셈이 혼합된 식의 계산 순서를 알고 정확하게 계산함."
6수01-01,보통,1,"혼합 계산의 순서를 익히는 과정에 있으며 반복 연습을 통해 점차 능숙해지고 있음."
6수01-01,보통,2,"간단한 혼합 계산은 잘 수행하며 복잡한 식에서도 꾸준한 연습으로 향상이 기대됨."
6수01-04,매우잘함,1,"약수와 공약수, 최대공약수의 개념을 정확히 이해하고 다양한 방법으로 척척 구해냄."
6수01-04,매우잘함,2,"최대공약수를 구하는 여러 가지 방법의 원리를 이해하고 이를 논리적으로 설명함."
6수01-04,잘함,1,"약수와 공약수, 최대공약수의 의미를 이해하고 주어진 수의 값을 정확히 구함."
6수01-04,잘함,2,"두 수의 공약수와 최대공약수를 구하는 방법을 알고 이를 바르게 적용함."
6수01-04,보통,1,"약수와 공약수의 개념을 익히고 있으며 최대공약수 구하기에 조금씩 익숙해지고 있음."
6수01-04,보통,2,"기본적인 약수 구하기는 잘 수행하며 공약수와 최대공약수 학습에 꾸준히 노력함."
6수02-02,매우잘함,1,"두 양의 관계를 비의 개념으로 명확히 이해하고 실생활 상황을 비로 정확하게 나타냄."
6수02-02,매우잘함,2,"비의 개념을 깊이 이해하여 다양한 실생활 상황에서 두 양의 관계를 능숙하게 비로 표현함."
6수02-02,잘함,1,"비의 개념을 이해하고 두 양의 크기를 비교하여 비로 나타낼 수 있음."
6수02-02,잘함,2,"두 양을 비교하는 상황을 이해하고 이를 비로 바르게 표현함."
6수02-02,보통,1,"비의 개념을 배워가는 중이며 두 양을 비로 나타내는 연습을 통해 이해를 넓혀가고 있음."
6수02-02,보통,2,"간단한 상황에서 비를 나타낼 수 있으며 다양한 사례를 접하며 점차 향상되고 있음."
6수02-04,매우잘함,1,"비례식의 성질을 정확히 이해하고 이를 활용하여 다양한 비례식을 능숙하게 풀어냄."
6수02-04,매우잘함,2,"비례식의 원리를 논리적으로 설명하며 복잡한 비례식 문제도 정확히 해결함."
6수02-04,잘함,1,"비례식의 성질을 이해하고 이를 활용하여 간단한 비례식을 바르게 풀어냄."
6수02-04,잘함,2,"비례식을 알고 그 성질을 이해하여 문제를 정확하게 해결함."
6수02-04,보통,1,"비례식의 개념을 익히는 중이며 반복 학습을 통해 풀이에 점차 자신감을 갖추어감."
6수02-04,보통,2,"안내된 절차에 따라 간단한 비례식을 풀며 꾸준히 실력을 다져가고 있음."
6수03-05,매우잘함,1,"각기둥과 각뿔의 구성 요소와 성질을 깊이 있게 탐구하고 이를 논리적으로 설명함."
6수03-05,매우잘함,2,"실생활에서 각기둥과 각뿔의 예를 찾아 그 성질을 정확히 탐구하고 발표함."
6수03-05,잘함,1,"각기둥과 각뿔의 면, 모서리, 꼭짓점을 찾고 그 성질을 바르게 설명함."
6수03-05,잘함,2,"각기둥과 각뿔을 이해하고 구성 요소의 특징을 정확히 파악함."
6수03-05,보통,1,"각기둥과 각뿔의 구성 요소를 찾아가는 활동에 참여하며 이해를 넓혀가고 있음."
6수03-05,보통,2,"조작 활동을 통해 각기둥과 각뿔의 기본 개념을 차근차근 익혀가는 중임."
6수03-16,매우잘함,1,"원주와 원의 넓이를 구하는 원리를 명확히 이해하고 이를 정확하고 능숙하게 계산함."
6수03-16,매우잘함,2,"원주율의 의미를 바탕으로 원주와 원의 넓이를 구하는 방법을 논리적으로 설명함."
6수03-16,잘함,1,"원주와 원의 넓이를 구하는 방법을 이해하고 이를 활용하여 정확히 구함."
6수03-16,잘함,2,"원주율을 이용하여 원주와 원의 넓이를 정확하고 바르게 계산함."
6수03-16,보통,1,"원주와 원의 넓이를 구하는 공식을 익히는 과정에 있으며 연습을 통해 향상되고 있음."
6수03-16,보통,2,"안내된 절차를 따라 원주와 원의 넓이를 구할 수 있으며 꾸준한 향상이 기대됨."
6수04-01,매우잘함,1,"평균의 의미와 유용성을 깊이 인식하고 다양한 자료의 평균을 구해 의미 있게 해석함."
6수04-01,매우잘함,2,"여러 집단의 자료를 수집해 평균을 정확히 구하고 그 결과를 논리적으로 해석함."
6수04-01,잘함,1,"평균의 의미를 이해하고 주어진 자료의 평균을 정확히 구하고 해석함."
6수04-01,잘함,2,"자료를 수집하여 평균을 구하고 그 의미를 바르게 파악함."
6수04-01,보통,1,"평균의 개념을 익혀가는 중이며 간단한 자료의 평균 구하기 연습을 이어가고 있음."
6수04-01,보통,2,"안내에 따라 간단한 자료의 평균을 구할 수 있으며 점차 향상되고 있음."
6사01-02,매우잘함,1,"독도의 지리적 특성과 역사적 근거 자료를 정확히 분석하여 우리 영토로서의 중요성을 논리적으로 설명함."
6사01-02,매우잘함,2,"다양한 역사 기록과 지리 자료를 근거로 독도가 우리 영토임을 설득력 있게 발표함."
6사01-02,잘함,1,"독도의 지리적 특징과 관련 역사 자료를 조사하여 독도의 영토적 중요성을 설명함."
6사01-02,잘함,2,"독도에 대한 자료를 찾아 정리하고 우리 영토로서 독도의 가치를 이해하고 있음."
6사01-02,보통,1,"독도의 위치와 역사적 사실에 관심을 갖고 있으며, 자료를 살펴보면 이해가 깊어질 것으로 기대됨."
6사01-02,보통,2,"독도가 우리 영토임을 인식하고 있으며, 다양한 자료를 접하며 지식을 넓혀갈 가능성이 보임."
6사05-01,매우잘함,1,"유교 문화가 조선 시대 사람들의 생각과 생활에 미친 영향을 다양한 사례로 깊이 있게 분석함."
6사05-01,매우잘함,2,"조선 시대 생활 속에 담긴 유교적 가치관을 구체적 근거를 들어 명확히 설명함."
6사05-01,잘함,1,"유교 문화가 조선 시대 사람들의 생활에 미친 영향을 사례를 들어 설명함."
6사05-01,잘함,2,"조선 시대의 생활 모습에서 유교 문화의 흔적을 찾아 정리함."
6사05-01,보통,1,"유교 문화와 조선 시대 생활의 관련성에 관심을 보이며, 사례 학습을 더하면 이해가 깊어질 것으로 보임."
6사05-01,보통,2,"조선 시대 사람들의 생활에 유교가 영향을 주었음을 알고 있으며, 꾸준한 학습으로 성장이 기대됨."
6사06-01,매우잘함,1,"일제의 식민 통치와 독립운동이 사회와 생활에 미친 영향을 다양한 자료로 심도 있게 분석함."
6사06-01,매우잘함,2,"일제 강점기 저항 운동의 의미를 구체적 사례를 근거로 조리 있게 설명함."
6사06-01,잘함,1,"일제의 식민 통치와 저항이 사회와 생활에 미친 영향을 사례를 들어 설명함."
6사06-01,잘함,2,"일제 강점기 우리 민족의 저항 활동을 조사하여 발표함."
6사06-01,보통,1,"일제 강점기 역사에 관심을 갖고 있으며, 관련 자료를 더 살펴보면 이해가 깊어질 것으로 기대됨."
6사06-01,보통,2,"일제의 식민 통치와 저항의 의미를 알고 있으며, 꾸준한 탐구로 성장 가능성이 보임."
6사08-01,매우잘함,1,"민주주의에서 선거의 의미와 역할을 명확히 이해하고, 시민 주권 행사의 중요성을 논리적으로 설명함."
6사08-01,매우잘함,2,"선거가 민주 사회에 필요한 이유를 구체적 근거로 제시하며 적극적인 참여 태도를 보임."
6사08-01,잘함,1,"선거의 의미와 역할을 이해하고, 시민으로서 선거에 참여하려는 태도를 지님."
6사08-01,잘함,2,"민주주의에서 선거가 갖는 역할을 조사하여 정리하고 발표함."
6사08-01,보통,1,"선거의 의미에 관심을 갖고 있으며, 참여 태도를 더 기르면 시민 의식이 성장할 것으로 기대됨."
6사08-01,보통,2,"선거와 민주주의의 관계를 알아가고 있으며, 꾸준한 학습으로 이해가 넓어질 가능성이 보임."
6사08-02,매우잘함,1,"국회, 행정부, 법원의 역할을 정확히 이해하고 권력 분립의 필요성을 논리적으로 설명함."
6사08-02,매우잘함,2,"삼권분립의 원리를 구체적 사례로 분석하여 조리 있게 발표함."
6사08-02,잘함,1,"국회, 행정부, 법원이 하는 일을 조사하고 권력 분립의 이유를 설명함."
6사08-02,잘함,2,"국가기관별 역할을 정리하여 권력 분립의 의미를 이해하고 있음."
6사08-02,보통,1,"국가기관의 역할에 관심을 갖고 있으며, 권력 분립의 이유를 더 탐구하면 이해가 깊어질 것으로 기대됨."
6사08-02,보통,2,"국회, 행정부, 법원의 이름과 역할을 알아가고 있으며, 꾸준한 학습으로 성장이 기대됨."
6사11-01,매우잘함,1,"시장경제에서 가계와 기업의 역할을 정확히 이해하고 근로자의 권리를 논리적으로 설명함."
6사11-01,매우잘함,2,"기업의 자유와 사회적 책임의 관계를 구체적 사례로 분석하여 발표함."
6사11-01,잘함,1,"가계와 기업의 역할을 이해하고, 근로자의 권리와 기업의 책임을 조사함."
6사11-01,잘함,2,"시장경제 속에서 가계와 기업이 맡은 역할과 관계를 조사하여 알기 쉽게 설명함."
6사11-01,보통,1,"가계와 기업의 역할에 관심을 갖고 있으며, 관련 사례를 더 살펴보면 이해가 깊어질 것으로 기대됨."
6사11-01,보통,2,"시장경제에서 근로자의 권리가 중요함을 알아가고 있으며, 꾸준한 학습이 기대됨."
6사12-02,매우잘함,1,"지구촌이 직면한 다양한 문제를 정확히 파악하고 지속가능한 해결 방안을 논리적으로 제시함."
6사12-02,매우잘함,2,"기후변화 등 지구촌 문제의 원인을 분석하고 창의적인 해결책을 발표함."
6사12-02,잘함,1,"지구촌의 여러 문제를 조사하고 지속가능한 미래를 위한 방안을 설명함."
6사12-02,잘함,2,"지구촌 문제 해결을 위한 실천 방안을 정리하여 발표함."
6사12-02,보통,1,"지구촌 문제에 관심을 갖고 있으며, 해결 방안을 더 탐색하면 이해가 깊어질 것으로 기대됨."
6사12-02,보통,2,"지속가능한 미래의 중요성을 알아가고 있으며, 꾸준한 관심으로 성장 가능성이 보임."
6과01-01,매우잘함,1,"지층이 쌓이는 원리를 정확히 이해하고 모형으로 정교하게 표현함."
6과01-01,매우잘함,2,"다양한 지층 자료를 분석하여 형성 과정을 창의적인 모형으로 완성해 보임."
6과01-01,잘함,1,"지층이 만들어지는 과정을 이해하고 이를 모형으로 표현하는 활동에 성실히 참여함."
6과01-01,잘함,2,"퇴적물이 쌓여 지층이 되는 순서를 모형 제작을 통해 무리 없이 설명함."
6과01-01,보통,1,"지층의 형성 과정에 관심을 가지고 모형 표현 활동에 꾸준히 참여하는 모습을 보임."
6과01-01,보통,2,"지층이 만들어지는 원리를 이해하려 노력하며 모형 활동에 점차 익숙해지는 모습을 보임."
6과04-02,매우잘함,1,"소화·순환·호흡·배설 기관의 구조와 기능을 깊이 있게 이해하고 상호 관련성을 논리적으로 설명함."
6과04-02,매우잘함,2,"우리 몸 각 기관의 작용을 통합적으로 분석하여 유기적 연관성을 명확하게 발표함."
6과04-02,잘함,1,"소화·순환·호흡·배설 기관의 기능을 이해하고 기관 간의 관련성을 설명할 수 있음."
6과04-02,잘함,2,"우리 몸의 여러 기관이 하는 일을 파악하고 이를 자신의 언어로 무리 없이 표현함."
6과04-02,보통,1,"우리 몸의 여러 기관에 관심을 가지고 그 기능을 알아가려는 태도를 보임."
6과04-02,보통,2,"몸속 기관들의 역할을 이해하는 활동에 성실히 참여하며 점차 향상되는 모습을 보임."
6과07-01,매우잘함,1,"온도계의 원리를 정확히 이해하고 다양한 물체의 온도를 정밀하게 측정함."
6과07-01,매우잘함,2,"온도의 개념을 명확히 이해하고 여러 상황에서 온도계를 능숙하게 활용함."
6과07-01,잘함,1,"온도의 의미를 이해하고 온도계를 이용해 물체의 온도를 정확히 측정함."
6과07-01,잘함,2,"물체의 차갑고 따뜻한 정도를 온도로 나타낼 수 있으며 측정 활동에 적극 참여함."
6과07-01,보통,1,"온도계 사용법을 익히며 온도 측정 활동에 꾸준히 관심을 기울임."
6과07-01,보통,2,"온도의 개념을 이해하려 노력하며 측정 활동에 점차 익숙해지는 모습을 보임."
6과09-01,매우잘함,1,"지시약의 색 변화를 정밀히 관찰하여 여러 용액을 산성과 염기성으로 정확히 분류함."
6과09-01,매우잘함,2,"다양한 지시약 실험 결과를 논리적으로 분석하여 용액의 성질을 명확히 구분함."
6과09-01,잘함,1,"지시약의 변화를 관찰하여 용액을 산성 용액과 염기성 용액으로 분류할 수 있음."
6과09-01,잘함,2,"여러 용액에 지시약을 넣는 실험에 적극 참여하여 결과를 무리 없이 해석함."
6과09-01,보통,1,"지시약을 이용한 용액 분류 활동에 관심을 가지고 꾸준히 참여함."
6과09-01,보통,2,"용액의 성질을 구분하는 실험 과정을 이해하려 노력하는 모습을 보임."
6과10-02,매우잘함,1,"이동 거리와 걸린 시간을 정확히 측정하여 속력을 구하고 빠르기를 논리적으로 비교함."
6과10-02,매우잘함,2,"다양한 물체의 속력을 정밀하게 계산하여 그 빠르기의 차이를 명확히 설명함."
6과10-02,잘함,1,"물체의 이동 거리와 시간을 측정하여 속력을 구하고 빠르기를 비교할 수 있음."
6과10-02,잘함,2,"속력을 구하는 방법을 이해하고 여러 물체의 빠르기를 무리 없이 비교함."
6과10-02,보통,1,"속력의 개념을 이해하려 노력하며 관련 활동에 꾸준히 참여함."
6과10-02,보통,2,"이동 거리와 시간을 측정하는 활동에 관심을 가지고 점차 익숙해지는 모습을 보임."
6과12-02,매우잘함,1,"지구 자전의 원리를 정확히 이해하고 낮과 밤이 생기는 이유를 논리적으로 설명함."
6과12-02,매우잘함,2,"지구본과 손전등을 활용한 모의실험으로 낮과 밤의 발생 원리를 명확히 발표함."
6과12-02,잘함,1,"지구의 자전을 이해하고 낮과 밤이 생기는 까닭을 무리 없이 설명함."
6과12-02,잘함,2,"지구가 자전하는 모습을 모형으로 표현하며 낮과 밤의 원리를 이해함."
6과12-02,보통,1,"지구의 자전과 낮밤의 관계를 이해하려 노력하는 모습을 보임."
6과12-02,보통,2,"낮과 밤이 생기는 원리에 관심을 가지고 학습 활동에 꾸준히 참여함."
6영01-01,매우잘함,1,"간단한 단어와 문장을 듣고 강세, 리듬, 억양의 차이를 정확하고 섬세하게 구분해 냄."
6영01-01,매우잘함,2,"영어 문장의 강세와 억양을 귀 기울여 듣고 매우 정확히 식별하는 뛰어난 청취 능력을 보임."
6영01-01,잘함,1,"간단한 단어와 문장의 강세, 리듬, 억양을 듣고 대체로 정확하게 구분함."
6영01-01,잘함,2,"영어 문장을 들으며 강세와 억양의 차이를 무리 없이 파악하는 태도를 보임."
6영01-01,보통,1,"반복하여 들려주면 간단한 단어와 문장의 강세와 억양을 구분할 수 있어 꾸준한 듣기 연습이 기대됨."
6영01-01,보통,2,"강세와 억양을 식별하는 데 조금씩 익숙해지고 있어 다양한 듣기 활동을 통한 성장이 기대됨."
6영01-04,매우잘함,1,"일상생활 주제의 대화를 듣고 세부 정보를 빠짐없이 정확하게 찾아냄."
6영01-04,매우잘함,2,"다양한 생활 주제 이야기를 들으며 필요한 세부 정보를 매우 정확히 파악하는 능력이 뛰어남."
6영01-04,잘함,1,"일상생활 주제에 관한 이야기를 듣고 세부 정보를 대체로 잘 파악함."
6영01-04,잘함,2,"생활 주제 대화를 들으며 필요한 정보를 어렵지 않게 찾아내는 모습을 보임."
6영01-04,보통,1,"핵심 표현을 짚어 주면 이야기 속 세부 정보를 찾아낼 수 있어 점진적 향상이 기대됨."
6영01-04,보통,2,"반복 청취를 통해 세부 정보를 파악하는 능력이 조금씩 향상되고 있어 꾸준한 지도가 필요함."
6영01-02,매우잘함,1,"간단한 단어와 문장을 강세, 리듬, 억양에 맞추어 매우 유창하고 정확하게 소리 내어 읽음."
6영01-02,매우잘함,2,"영어 문장을 자연스러운 억양과 리듬으로 읽어 내는 뛰어난 낭독 실력을 보임."
6영01-02,잘함,1,"간단한 단어와 문장을 강세와 리듬에 맞게 소리 내어 읽음."
6영01-02,잘함,2,"영어 문장을 비교적 자연스러운 억양으로 읽어 내는 모습을 보임."
6영01-02,보통,1,"짧은 문장을 또박또박 읽을 수 있으며 억양과 강세 지도를 통한 향상이 기대됨."
6영01-02,보통,2,"반복 연습을 하면 문장을 강세에 맞게 읽는 능력이 점차 향상될 것으로 기대됨."
6영01-05,매우잘함,1,"일상생활 주제의 글을 읽고 중심 내용을 명확하고 정확하게 파악함."
6영01-05,매우잘함,2,"다양한 생활 주제의 글에서 핵심 내용을 빠르고 정확하게 찾아내는 독해력이 뛰어남."
6영01-05,잘함,1,"생활 주제에 관한 글을 읽고 중심 내용을 대체로 잘 파악함."
6영01-05,잘함,2,"글을 읽으며 전체적인 내용과 요지를 무리 없이 이해하는 모습을 보임."
6영01-05,보통,1,"핵심 어휘를 짚어 주면 글의 중심 내용을 파악할 수 있어 독해력 향상이 기대됨."
6영01-05,보통,2,"반복하여 읽으면서 글의 중심 내용을 파악하는 능력이 점차 향상되고 있음."
6영02-01,매우잘함,1,"간단한 단어와 문장을 강세, 리듬, 억양에 맞추어 매우 정확하고 자신 있게 말함."
6영02-01,매우잘함,2,"자연스러운 억양과 강세로 영어 문장을 말하는 뛰어난 발화 능력을 보임."
6영02-01,잘함,1,"간단한 단어와 문장을 강세와 억양에 맞게 무리 없이 말함."
6영02-01,잘함,2,"영어 문장을 비교적 자연스러운 리듬과 억양으로 말하는 모습을 보임."
6영02-01,보통,1,"문장을 천천히 따라 말하며 강세와 억양을 익혀 가고 있어 꾸준한 연습이 기대됨."
6영02-01,보통,2,"반복 연습을 통해 문장을 강세에 맞게 말하는 능력이 점차 향상되고 있음."
6영02-04,매우잘함,1,"주변 사람이나 사물을 간단한 문장으로 매우 구체적이고 생생하게 소개함."
6영02-04,매우잘함,2,"다양한 표현을 활용하여 주변 인물과 사물을 창의적으로 묘사하는 뛰어난 표현력을 보임."
6영02-04,잘함,1,"주변 사람이나 사물을 간단한 문장으로 무리 없이 소개하거나 묘사함."
6영02-04,잘함,2,"익힌 표현을 활용하여 주변 대상을 문장으로 잘 설명하는 모습을 보임."
6영02-04,보통,1,"예시 표현을 참고하여 주변 사람이나 사물을 간단히 소개할 수 있어 표현력 신장이 기대됨."
6영02-04,보통,2,"도움을 받아 주변 대상을 문장으로 묘사할 수 있어 꾸준한 연습을 통한 향상이 기대됨."
6영02-03,매우잘함,1,"알파벳 대소문자와 문장 부호를 문장에서 매우 정확하고 능숙하게 사용함."
6영02-03,매우잘함,2,"문장을 쓸 때 대소문자와 문장 부호를 실수 없이 정확하게 구분하여 사용하는 능력이 뛰어남."
6영02-03,잘함,1,"알파벳 대소문자와 문장 부호를 문장에서 대체로 바르게 사용함."
6영02-03,잘함,2,"문장을 쓸 때 대소문자와 문장 부호를 큰 오류 없이 사용하는 모습을 보임."
6영02-03,보통,1,"안내를 받으면 대소문자와 문장 부호를 바르게 사용할 수 있어 점진적 향상이 기대됨."
6영02-03,보통,2,"반복 연습을 통해 문장 부호와 대소문자 사용이 점차 정확해지고 있음."
6도01-01,매우잘함,1,"자주적인 삶의 의미를 깊이 이해하고 스스로 생활계획을 세워 꾸준히 실천하는 태도가 돋보임."
6도01-01,매우잘함,2,"주체적인 삶의 자세를 뚜렷이 지니고 구체적인 생활계획을 수립하여 성실히 실행에 옮김."
6도01-01,잘함,1,"자주적인 삶의 중요성을 이해하고 생활계획을 세워 실천하려고 노력함."
6도01-01,잘함,2,"스스로 생활계획을 세우는 자세를 지니고 이를 실천하는 모습을 자주 보임."
6도01-01,보통,1,"자주적인 삶에 관심을 보이며 생활계획을 세우는 경험을 통해 실천력을 점차 키워가고 있음."
6도01-01,보통,2,"생활계획 세우기에 흥미를 나타내며 꾸준한 실천으로 나아가려는 태도를 길러가는 중임."
6도02-01,매우잘함,1,"봉사의 의미와 중요성을 깊이 깨닫고 타인의 상황에 세심히 공감하며 적극적으로 봉사를 실천함."
6도02-01,매우잘함,2,"타인이 처한 어려움에 진심 어린 관심을 기울이며 자발적인 봉사 활동을 꾸준히 이어감."
6도02-01,잘함,1,"봉사의 필요성을 이해하고 주변 사람의 상황에 관심을 가지며 봉사를 실천하려고 노력함."
6도02-01,잘함,2,"타인을 배려하는 마음으로 봉사 활동에 참여하며 실천하는 모습을 보임."
6도02-01,보통,1,"봉사의 의미에 관심을 가지며 타인의 상황을 살펴보는 경험을 통해 실천 의지를 키워가고 있음."
6도02-01,보통,2,"봉사 활동에 참여하는 경험을 쌓으며 타인을 향한 관심과 실천력을 점차 넓혀가는 중임."
6도03-01,매우잘함,1,"다양한 인권 사례를 깊이 살펴보고 인권 감수성을 풍부하게 길러 이를 실천하려는 의지가 뚜렷함."
6도03-01,매우잘함,2,"인권 침해 사례에 예민하게 반응하며 인권 존중을 생활 속에서 적극적으로 실천함."
6도03-01,잘함,1,"인권과 관련된 사례를 살펴보며 인권 감수성을 기르고 이를 실천하려고 노력함."
6도03-01,잘함,2,"인권의 소중함을 이해하고 이를 존중하는 태도를 생활 속에서 보임."
6도03-01,보통,1,"인권 관련 사례에 관심을 가지며 인권 감수성을 점차 길러가고 있음."
6도03-01,보통,2,"인권의 의미를 살펴보는 활동에 참여하며 존중하는 태도를 조금씩 키워가는 중임."
6도03-02,매우잘함,1,"정의의 의미를 깊이 탐구하고 공정한 공동체 규칙을 스스로 고안하여 기초적 시민의식이 뛰어남."
6도03-02,매우잘함,2,"공동체 규칙의 중요성을 명확히 이해하고 공정한 규칙을 창의적으로 제안하는 능력이 돋보임."
6도03-02,잘함,1,"정의에 관심을 가지고 공동체 규칙의 중요성을 이해하며 공정한 규칙을 고안하려고 노력함."
6도03-02,잘함,2,"공정한 규칙을 만드는 활동에 참여하며 시민의식을 기르는 모습을 보임."
6도03-02,보통,1,"정의와 공동체 규칙에 관심을 가지며 공정한 규칙을 고안하는 능력을 점차 길러가고 있음."
6도03-02,보통,2,"공동체 규칙 만들기 활동에 참여하며 기초적인 시민의식을 조금씩 키워가는 중임."
6도04-01,매우잘함,1,"지구 환경 위기 상황을 깊이 이해하고 이를 극복할 다양한 방안을 찾아 일상에서 적극적으로 실천함."
6도04-01,매우잘함,2,"환경 위기의 심각성을 정확히 인식하고 지속 가능한 실천 방안을 스스로 찾아 꾸준히 행동함."
6도04-01,잘함,1,"지구 환경 위기 상황을 이해하고 이를 극복하기 위한 방안을 찾아 실천하려고 노력함."
6도04-01,잘함,2,"환경 보호의 필요성을 이해하고 일상에서 실천하는 모습을 자주 보임."
6도04-01,보통,1,"지구 환경 위기에 관심을 가지며 실천 방안을 찾아가는 노력을 점차 기울이고 있음."
6도04-01,보통,2,"환경 문제에 관심을 보이며 실천 방안을 탐색하는 태도를 조금씩 길러가는 중임."
