code,subject,domain,grade,description
6실03-02,실과,기술적 문제해결과 혁신,6학년,"발명사고기법과 기술적 문제 해결 과정을 이해하고, 다양한 재료를 활용하여 생활 속 문제를 해결할 수 있는 창의적인 제품을 구상하고 만들어 봄으로써 실천적 태도를 갖는다."
6실04-06,실과,기술적 문제해결(지속가능한 기술과 융합),6학년,"로봇의 융합 기술을 이해하고, 간단한 로봇을 만들어 코딩과 프로그램을 적용하여 동작시키는 체험을 통해 융합 기술의 가치를 인식한다."
6실05-02,실과,소프트웨어(SW)교육(디지털 사회와 인공지능),6학년,"컴퓨터에게 명령하는 방법을 체험하고, 주어진 문제를 해결하는 프로그램을 작성한다."
6실05-05,실과,소프트웨어(SW)교육(디지털 사회와 인공지능),6학년,"인공지능이 만들어지는 과정을 체험하고, 인공지능이 사회에 미치는 영향을 탐색한다."
6체01-01,체육,운동,6학년,"건강 체력과 운동 체력의 의미와 요소를 파악하고 다양한 운동 방법을 탐색한다."
6체01-04,체육,운동,6학년,"운동 및 생활 속 위험 상황, 성장 발달을 저해하는 생활 방식의 문제점을 파악하고 예방 및 대처 방법을 익혀 안전하게 활동한다."
6체01-05,체육,운동,6학년,"체력 운동을 끈기 있게 규칙적으로 수행한다."
6체02-02,체육,스포츠,6학년,"기술형 스포츠 유형별로 기본 움직임 기술을 응용한 기본 기능을 파악하고 수행한다."
6체02-11,체육,스포츠,6학년,"스포츠 활동에 참여하며 팀원과 협력하고 구성원을 배려한다."
6체03-03,체육,표현,6학년,"스포츠 표현의 기본 동작을 다양하게 구성하여 발표하고 감상한다."
6체03-08,체육,표현,6학년,"다양한 표현 활동 유형을 수용하고, 움직임 표현의 아름다움을 추구한다."
6음01-01,음악,표현,6학년,"바른 주법과 표현 기법을 익혀 노래나 악기로 느낌을 담아 연주한다."
6음01-04,음악,생활화,6학년,"간단한 형태의 연주를 준비하여 생활 속 음악 활동에 참여한다."
6음02-01,음악,감상,6학년,"음악을 듣고 음악의 요소를 감지하며 구별한다."
6음02-04,음악,생활화,6학년,"생활 속에서 음악을 찾아 들으며 아름다움을 느끼고 공감한다."
6음03-01,음악,표현,6학년,"느낌과 아이디어를 떠올려 여러 매체나 방법으로 자신감 있게 표현한다."
6음02-02,음악,감상,6학년,"다양한 문화권의 음악을 듣고 음악적 특징과 음악의 간단한 구성을 인식한다."
6미01-01,미술,체험,6학년,"다양한 감각과 매체를 활용하여 자신과 대상을 탐색할 수 있다."
6미01-04,미술,체험,6학년,"이미지가 나타내는 의미를 비판적으로 이해하고 느낌과 생각을 전달하는 데 활용할 수 있다."
6미02-02,미술,표현,6학년,"디지털 매체 등 다양한 표현 재료와 용구를 탐색하여 작품 제작에 활용할 수 있다."
6미02-04,미술,표현,6학년,"주제 표현에 의지를 갖고 표현 과정을 돌아보며 작품을 발전시킬 수 있다."
6미03-02,미술,감상,6학년,"미술 작품의 내용(소재, 주제 등)과 형식(재료와 용구, 표현 방법, 조형 요소와 원리 등)을 분석하여 작품의 특징을 설명할 수 있다."
6미03-04,미술,감상,6학년,"다양한 방법을 활용하여 작품을 감상하며 작품에 관한 서로 다른 관점을 존중할 수 있다."
