code,subject,domain,grade,description
6도03-03,도덕,사회·공동체과의 관계,5-6학년군,통일과정과 통일 이후 사회의 여러 가지 상황을 예상하고 바람직한 통일과정과 통일국가의 사회상을 제시한다.
6도03-04,도덕,사회·공동체과의 관계,5-6학년군,다른 나라 사람들이 처한 여러 가지 상황을 종합적으로 이해하고 해결 방안을 탐구하며 인류애를 기른다.
6도04-01,도덕,자연과의 관계,5-6학년군,"지구의 환경 위기 상황을 이해하고, 이를 극복하기 위한 다양한 방법을 찾아 자신의 일상에서 실천하고자 노력한다."
6도04-02,도덕,자연과의 관계,5-6학년군,지속가능한 삶의 의미를 탐구하고 미래 세대에 대한 책임을 강화하여 자연의 다양성을 존중하고 생산성을 유지할 수 있는 미래를 위한 실천 방안을 찾는다.
6미01-01,미술,미적 체험,5-6학년군,다양한 감각과 매체를 활용하여 자신과 대상을 탐색할 수 있다.
6미01-02,미술,미적 체험,5-6학년군,"자신이나 주변 환경에서 찾은 감각적 특징, 느낌, 생각 등을 관련지어 나타낼 수 있다."
6미01-03,미술,미적 체험,5-6학년군,주변 환경에 대한 민감한 태도로 대상과 상호 작용하며 새로운 의미를 발견할 수 있다.
6미01-04,미술,미적 체험,5-6학년군,이미지가 나타내는 의미를 비판적으로 이해하고 느낌과 생각을 전달하는 데 활용할 수 있다.
6미02-01,미술,표현,5-6학년군,다양한 방법으로 아이디어를 연결하여 확장된 표현 주제로 발전시킬 수 있다.
6미02-02,미술,표현,5-6학년군,디지털 매체 등 다양한 표현 재료와 용구를 탐색하여 작품 제작에 활용할 수 있다.
6미02-03,미술,표현,5-6학년군,조형 요소의 어울림을 통해 조형 원리를 이해하고 주제 표현에 연결할 수 있다.
6미02-04,미술,표현,5-6학년군,주제 표현에 의지를 갖고 표현 과정을 돌아보며 작품을 발전시킬 수 있다.
6미02-05,미술,표현,5-6학년군,미술과 타 교과의 내용과 방법을 융합하는 활동을 자유롭게 시도할 수 있다.
6미03-01,미술,감상,5-6학년군,"미술 작품을 작품이 만들어진 시대적, 지역적 배경 등과 연결하여 이해할 수 있다."
6미03-02,미술,감상,5-6학년군,"미술 작품의 내용(소재, 주제 등)과 형식(재료와 용구, 표현 방법, 조형 요소와 원리 등)을 분석하여 작품의 특징을 설명할 수 있다."
6미03-03,미술,감상,5-6학년군,공동체의 미술 문화 활동에 관심을 가지고 참여하며 경험을 공유할 수 있다.
6미03-04,미술,감상,5-6학년군,다양한 방법을 활용하여 작품을 감상하며 작품에 관한 서로 다른 관점을 존중할 수 있다.
6사01-01,사회,우리나라 국토 여행,5-6학년군,"우리나라 산지, 하천, 해안 지형의 위치를 확인하고 지형의 분포 특징을 탐구한다."
6사01-02,사회,우리나라 국토 여행,5-6학년군,독도의 지리적 특성과 독도에 대한 역사 기록을 바탕으로 영토로서 독도의 중요성을 이해한다.
6사02-01,사회,우리나라 지리 탐구,5-6학년군,"우리나라의 계절별 기후 특징을 자료에서 탐구하고, 기후변화로 인한 자연재해의 심각성을 이해한다."
6사02-02,사회,우리나라 지리 탐구,5-6학년군,"우리나라의 지역별 인구 분포의 특징을 알아보고, 이에 따른 문제점과 해결 방안을 탐색한다."
6사03-01,사회,법과 인권의 보장,5-6학년군,"일상 사례에서 법의 의미와 역할을 이해하고, 헌법에 규정된 인권이 일상생활에서 구현되는 사례를 조사하여 인권 친화적 태도를 기른다."
6사03-02,사회,법과 인권의 보장,5-6학년군,"일상생활에서 인권이 침해되는 사례를 찾아 그 해결 방안을 탐색하고, 인권을 보호하는 활동에 참여한다."
6사04-01,사회,유적과 유물로 살펴본 옛 사람들의 생활,5-6학년군,선사 시대와 고조선의 유적과 유물을 활용하여 당시 사람들의 생활을 추론한다.
6사04-02,사회,유적과 유물로 살펴본 옛 사람들의 생활,5-6학년군,역사 기록이나 유적과 유물에 나타난 고대 사람들의 생각과 생활을 추론한다.
6사04-03,사회,유적과 유물로 살펴본 옛 사람들의 생활,5-6학년군,다양한 역사 자료를 활용하여 고려 시대 사회 모습과 사람들의 생활을 추론한다.
6사05-01,사회,"달라지는 시대, 변화하는 생활 모습",5-6학년군,조선 시대 사람들의 생각과 생활에 유교 문화가 미친 영향을 파악한다.
6사05-02,사회,"달라지는 시대, 변화하는 생활 모습",5-6학년군,조선 후기 사회·문화적 변화와 개항기 근대 문물 수용 과정에서 달라진 사람들의 생활을 이해한다.
6사06-01,사회,"식민 통치와 저항, 전쟁이 바꾼 사회와 생활",5-6학년군,일제의 식민 통치와 이에 대한 저항이 사회와 생활에 미친 영향을 이해한다.
6사06-02,사회,"식민 통치와 저항, 전쟁이 바꾼 사회와 생활",5-6학년군,8·15 광복과 6·25 전쟁이 사회와 생활에 미친 영향을 파악한다.
6사07-01,사회,"평화 통일을 위한 노력, 민주화와 산업화",5-6학년군,"분단으로 나타난 문제점과 분단과 관련된 장소를 평화의 장소로 만들려는 노력 등을 알아보고, 평화 통일을 위해 우리가 할 수 있는 일을 탐색한다."
6사07-02,사회,"평화 통일을 위한 노력, 민주화와 산업화",5-6학년군,민주화와 산업화로 인해 달라진 생활 문화를 사례를 들어 이해한다.
6사08-01,사회,민주주의와 시민 참여,5-6학년군,"민주주의에서 선거의 의미와 역할을 파악하고, 시민의 주권 행사를 위해 선거에 참여하는 태도를 기른다."
6사08-02,사회,민주주의와 시민 참여,5-6학년군,"민주 국가에서 국회, 행정부, 법원이 하는 일에 대해 이해하고, 각 국가기관의 권력을 분립하는 이유를 탐색한다."
6사08-03,사회,민주주의와 시민 참여,5-6학년군,"민주주의에서 미디어의 의미와 역할을 이해하고, 여러 가지 미디어의 내용을 비판적으로 분석하여 올바르게 이용하는 태도를 기른다."
6사09-01,사회,"지구, 대륙 그리고 국가들",5-6학년군,"세계를 표현하는 다양한 공간 자료의 특징을 이해하고, 지구본과 세계지도에서 위치를 표현하는 방법을 익힌다."
6사09-02,사회,"지구, 대륙 그리고 국가들",5-6학년군,"세계 주요 대륙과 대양을 파악하고, 우리나라 및 세계 여러 국가의 위치와 영토의 특징을 이해한다."
6사10-01,사회,세계의 자연환경,5-6학년군,"세계 여러 지역의 지형 경관을 살펴보고, 이를 통해 다양한 삶의 모습을 이해한다."
6사10-02,사회,세계의 자연환경,5-6학년군,세계의 다양한 기후를 알아보고 기후 환경과 인간생활 간의 관계를 탐구한다.
6사11-01,사회,시장경제와 국가 간 거래,5-6학년군,"시장경제에서 가계와 기업의 역할을 이해하고, 근로자의 권리와 기업의 자유 및 책임을 탐색한다."
6사11-02,사회,시장경제와 국가 간 거래,5-6학년군,"경제성장이 우리 생활에 미치는 영향을 파악하고, 빠른 경제성장으로 발생한 문제의 해결 방안을 탐색한다."
6사11-03,사회,시장경제와 국가 간 거래,5-6학년군,"사례를 통해 무역의 의미를 이해하고, 국가 간 무역이 발생하는 이유를 탐구한다."
6사12-01,사회,지구촌 사람들,5-6학년군,세계 인구 분포를 파악하고 여러 국가의 인구 특징을 탐구한다.
6사12-02,사회,지구촌 사람들,5-6학년군,"지구촌을 위협하는 다양한 문제들을 파악하고, 지속가능한 미래를 위한 해결 방안을 탐색한다."
6수01-01,수학,수와 연산,5-6학년군,"덧셈, 뺄셈, 곱셈, 나눗셈의 혼합 계산에서 계산하는 순서를 알고, 혼합 계산을 할 수 있다."
6수01-02,수학,수와 연산,5-6학년군,"실생활과 연결하여 이상, 이하, 초과, 미만의 의미와 쓰임을 알고, 이를 활용하여 수의 범위를 나타낼 수 있다."
6수01-03,수학,수와 연산,5-6학년군,"어림값을 구하기 위한 방법으로 올림, 버림, 반올림의 의미와 필요성을 알고, 이를 실생활에 활용함으로써 수학의 유용성을 인식할 수 있다."
6수01-04,수학,수와 연산,5-6학년군,"약수, 공약수, 최대공약수를 이해하고 구할 수 있다."
6수01-05,수학,수와 연산,5-6학년군,"배수, 공배수, 최소공배수를 이해하고 구할 수 있다."
6수01-06,수학,수와 연산,5-6학년군,"크기가 같은 분수를 만드는 방법을 이해하고, 분수를 약분, 통분할 수 있다."
6수01-07,수학,수와 연산,5-6학년군,분모가 다른 분수의 크기를 비교하고 그 방법을 설명할 수 있다.
6수01-08,수학,수와 연산,5-6학년군,분모가 다른 분수의 덧셈과 뺄셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.
6수01-09,수학,수와 연산,5-6학년군,분수의 곱셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.
6수01-10,수학,수와 연산,5-6학년군,'자연수÷자연수'에서 나눗셈의 몫을 분수로 나타낼 수 있다.
6수01-11,수학,수와 연산,5-6학년군,분수의 나눗셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.
6수01-12,수학,수와 연산,5-6학년군,분수와 소수의 관계를 이해하고 크기를 비교하며 그 방법을 설명할 수 있다.
6수01-13,수학,수와 연산,5-6학년군,소수의 곱셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.
6수01-14,수학,수와 연산,5-6학년군,'자연수÷자연수'에서 나눗셈의 몫을 소수로 나타낼 수 있다.
6수01-15,수학,수와 연산,5-6학년군,소수의 나눗셈의 계산 원리를 탐구하고 그 계산을 할 수 있다.
6수02-01,수학,변화와 관계,5-6학년군,"한 양이 변할 때 다른 양이 그에 종속하여 변하는 대응 관계를 나타낸 표에서 규칙을 찾아 설명하고, □, △ 등을 사용하여 식으로 나타낼 수 있다."
6수02-02,수학,변화와 관계,5-6학년군,"두 양의 크기를 비교하는 상황을 통해 비의 개념을 이해하고, 두 양의 관계를 비로 나타낼 수 있다."
6수02-03,수학,변화와 관계,5-6학년군,"비율을 이해하고, 비율을 분수, 소수, 백분율로 나타낼 수 있다."
6수02-04,수학,변화와 관계,5-6학년군,"비례식을 알고, 그 성질을 이해하며, 이를 활용하여 간단한 비례식을 풀 수 있다."
6수02-05,수학,변화와 관계,5-6학년군,"비례배분을 알고, 주어진 양을 비례배분 할 수 있다."
6수03-01,수학,도형과 측정,5-6학년군,"도형의 합동을 이해하고, 합동인 도형의 성질을 탐구하고 설명할 수 있다."
6수03-02,수학,도형과 측정,5-6학년군,실생활과 연결하여 선대칭도형과 점대칭도형을 이해하고 그릴 수 있다.
6수03-03,수학,도형과 측정,5-6학년군,"직육면체와 정육면체를 이해하고, 구성 요소와 성질을 탐구하고 설명할 수 있다."
6수03-04,수학,도형과 측정,5-6학년군,직육면체와 정육면체의 겨냥도와 전개도를 그릴 수 있다.
6수03-05,수학,도형과 측정,5-6학년군,"각기둥과 각뿔을 이해하고, 구성 요소와 성질을 탐구하고 설명할 수 있다."
6수03-06,수학,도형과 측정,5-6학년군,각기둥의 전개도를 그릴 수 있다.
6수03-07,수학,도형과 측정,5-6학년군,"원기둥, 원뿔, 구를 이해하고, 구성 요소와 성질을 탐구하고 설명할 수 있다."
6수03-08,수학,도형과 측정,5-6학년군,원기둥의 전개도를 그릴 수 있다.
6수03-09,수학,도형과 측정,5-6학년군,쌓기나무로 만든 입체도형을 보고 사용된 쌓기나무의 개수를 구할 수 있다.
6수03-10,수학,도형과 측정,5-6학년군,"쌓기나무로 만든 입체도형의 위, 앞, 옆에서 본 모양을 표현할 수 있고, 이러한 표현을 보고 입체도형의 모양을 추측할 수 있다."
6수03-11,수학,도형과 측정,5-6학년군,"평면도형의 둘레를 이해하고, 기본적인 평면도형의 둘레를 구할 수 있다."
6수03-12,수학,도형과 측정,5-6학년군,"넓이 단위 1cm², 1m², 1km²를 알며, 그 관계를 이해한다."
6수03-13,수학,도형과 측정,5-6학년군,"직사각형과 정사각형의 넓이를 구하는 방법을 이해하고, 이를 구할 수 있다."
6수03-14,수학,도형과 측정,5-6학년군,"평행사변형, 삼각형, 사다리꼴, 마름모의 넓이를 구하는 방법을 다양하게 추론하고, 이와 관련된 문제를 해결할 수 있다."
6수03-15,수학,도형과 측정,5-6학년군,"여러 가지 원 모양 물체의 원주와 지름을 측정하는 활동을 통하여, 원주율이 일정한 값임을 알고 그 근삿값을 사용할 수 있다."
6수03-16,수학,도형과 측정,5-6학년군,"원주와 원의 넓이를 구하는 방법을 이해하고, 이를 구할 수 있다."
6수03-17,수학,도형과 측정,5-6학년군,"직육면체와 정육면체의 겉넓이를 구하는 방법을 이해하고, 이를 구할 수 있다."
6수03-18,수학,도형과 측정,5-6학년군,"부피 단위 1cm³, 1m³를 알며, 그 관계를 이해한다."
6수03-19,수학,도형과 측정,5-6학년군,"직육면체와 정육면체의 부피를 구하는 방법을 이해하고, 이를 구할 수 있다."
6수04-01,수학,자료와 가능성,5-6학년군,"평균의 의미를 알고, 자료를 수집하여 평균을 구하고 해석할 수 있다."
6수04-02,수학,자료와 가능성,5-6학년군,자료를 수집하여 띠그래프나 원그래프로 나타내고 해석할 수 있다.
6수04-03,수학,자료와 가능성,5-6학년군,"탐구 문제를 설정하고, 그에 맞는 자료를 수집, 정리하여 적절한 그래프로 나타내고 해석할 수 있다."
6수04-04,수학,자료와 가능성,5-6학년군,사건이 일어날 가능성을 말로 표현하고 비교할 수 있다.
6수04-05,수학,자료와 가능성,5-6학년군,사건이 일어날 가능성을 수로 나타낼 수 있다.
6수04-06,수학,자료와 가능성,5-6학년군,"자료를 이용하여 가능성을 예상하고, 가능성에 근거하여 적절한 판단을 내릴 수 있다."
6실01-01,실과,인간 발달과 주도적 삶,5-6학년군,아동기의 발달 특징을 이해하고 성장발달에 필요한 조건과 방법을 탐색한다.
6실01-02,실과,인간 발달과 주도적 삶,5-6학년군,"건강한 발달을 위한 자기 관리 방법을 탐색하고, 일상생활 속에서 올바른 생활습관과 태도를 갖도록 계획하여 실천한다."
6실01-03,실과,인간 발달과 주도적 삶,5-6학년군,건강한 가정생활을 위해 가족원 모두에게 다양한 요구가 있음을 이해하여 서로에 대한 배려와 돌봄을 실천한다.
6실01-04,실과,인간 발달과 주도적 삶,5-6학년군,균형 잡힌 식사의 중요성과 조건을 탐색하여 자신의 식습관을 검토해 보고 건강한 식습관 형성에 적용한다.
6실01-05,실과,인간 발달과 주도적 삶,5-6학년군,옷의 기능을 이해하여 평소 자신의 옷차림을 살펴보고 건강하고 적절한 옷 입기를 실천한다.
6실01-06,실과,인간 발달과 주도적 삶,5-6학년군,"가정일을 수행하는 과정에서 일의 가치와 중요성을 이해하고, 가정생활을 유지하는 데 필요한 가정일의 종류를 탐색한다."
6실01-07,실과,인간 발달과 주도적 삶,5-6학년군,"직업의 필요성을 이해하고 적성, 흥미, 성격에 따라 진로 계획을 세우고 주도적으로 탐색한다."
