standard_code,level,variant_no,template_text
6과04-03,매우잘함,1,우리 몸의 여러 기관과 관련된 질병을 조사하고 건강 유지를 위한 생활 방식을 실천함.
6과04-03,매우잘함,2,신체 기관 관련 질병을 조사하여 과학이 건강에 활용됨을 인식하고 생활 속에서 꾸준히 실천함.
6과04-03,잘함,1,우리 몸의 여러 기관과 관련된 질병을 조사하고 건강 유지 방식을 발표함.
6과04-03,잘함,2,신체 기관 관련 질병을 조사하며 건강에 대한 관심을 키워감.
6과04-03,보통,1,우리 몸의 여러 기관과 관련된 질병을 조사해봄.
6과04-03,보통,2,신체 기관과 질병 조사 활동에 성실히 참여함.
6과05-01,매우잘함,1,혼합물의 의미를 이해하고 알갱이 크기가 다른 고체 혼합물과 액체 혼합물을 정확히 분리함.
6과05-01,매우잘함,2,다양한 혼합물의 특성을 이해하고 고체와 액체 혼합물을 능숙하게 분리함.
6과05-01,잘함,1,알갱이의 크기가 다른 고체 혼합물을 분리하고 혼합물의 의미를 설명함.
6과05-01,잘함,2,혼합물의 특징을 이해하고 고체와 액체 혼합물을 분리해봄.
6과05-01,보통,1,고체와 액체 혼합물의 분리 과정을 말함.
6과05-01,보통,2,혼합물 분리 활동에 관심을 가지고 참여함.
6과05-02,매우잘함,1,물에 용해되는 성질과 증발하는 성질을 이해하고 이를 이용해 혼합물을 정확히 분리함.
6과05-02,매우잘함,2,용해와 증발의 원리를 이해하고 이를 응용하여 혼합물을 능숙하게 분리함.
6과05-02,잘함,1,물에 용해되는 성질과 증발하는 성질을 이용하여 혼합물 일부를 분리함.
6과05-02,잘함,2,용해와 증발의 성질을 활용하여 혼합물 분리 실험을 수행함.
6과05-02,보통,1,물의 용해와 증발 성질로 혼합물을 분리할 수 있음을 말함.
6과05-02,보통,2,혼합물 분리 원리에 관심을 가지고 실험에 참여함.
6과05-03,매우잘함,1,지속가능한 삶을 위한 혼합물 분리 장치 사례를 조사하고 삶에 기여하는 방식을 공유함.
6과05-03,매우잘함,2,혼합물 분리를 이용한 과학기술 사례를 깊이 조사하여 그 가치를 설득력 있게 공유함.
6과05-03,잘함,1,지속가능한 삶을 위한 과학기술 사례를 조사하고 혼합물 분리 장치를 구분함.
6과05-03,잘함,2,혼합물 분리를 이용한 다양한 장치 사례를 조사하여 정리함.
6과05-03,보통,1,일상생활에서 혼합물을 분리하는 사례를 말함.
6과05-03,보통,2,혼합물 분리 장치 조사 활동에 관심을 보임.
6과06-01,매우잘함,1,기온 바람 습도 등 기상 요소를 조사하여 날씨가 생활에 주는 영향을 예를 들어 설명함.
6과06-01,매우잘함,2,다양한 기상 요소를 체계적으로 조사하고 생활 속 영향을 구체적 사례로 설명함.
6과06-01,잘함,1,기온 바람 습도 등 기상 요소가 생활에 주는 영향을 조사함.
6과06-01,잘함,2,여러 기상 요소를 조사하여 날씨와 생활의 관계를 파악함.
6과06-01,보통,1,날씨가 우리 생활에 주는 영향을 말함.
6과06-01,보통,2,기상 요소와 생활의 관계에 관심을 가지고 알아감.
6과06-02,매우잘함,1,이슬 안개 구름을 관찰하고 발생 실험을 통해 공통점과 차이점을 논리적으로 설명함.
6과06-02,매우잘함,2,이슬과 안개 발생 실험을 수행하여 구름과의 공통점 및 차이점을 명확히 규명함.
6과06-02,잘함,1,이슬 안개 구름의 공통점과 차이점을 찾아 설명함.
6과06-02,잘함,2,이슬 안개 구름을 관찰하여 서로 다른 특징을 비교함.
6과06-02,보통,1,이슬 안개 구름을 구별할 수 있음.
6과06-02,보통,2,이슬 안개 구름 관찰 활동에 흥미를 가지고 참여함.
6과06-03,매우잘함,1,바람 발생 모형실험으로 고기압에서 저기압으로 부는 바람의 방향을 설명하고 날씨 특징을 표현함.
6과06-03,매우잘함,2,고기압과 저기압 분포에 따른 날씨 특징을 실험 결과를 근거로 명확히 표현함.
6과06-03,잘함,1,바람 발생 모형실험을 통해 고기압에서 저기압으로 부는 바람의 방향을 설명함.
6과06-03,잘함,2,모형실험을 통해 고기압과 저기압 사이의 바람 방향을 파악함.
6과06-03,보통,1,고기압과 저기압의 의미를 말함.
6과06-03,보통,2,고기압과 저기압 개념에 관심을 가지고 알아감.
6과07-01,매우잘함,1,온도의 개념을 이해하고 온도계의 올바른 사용법을 익혀 다양한 물체의 온도를 정확히 측정함.
6과07-01,매우잘함,2,온도계 사용법을 능숙하게 익혀 여러 물체와 장소의 온도를 정확하게 측정함.
6과07-01,잘함,1,물체의 따뜻하고 차가운 정도를 온도로 표현하고 온도계의 사용법을 말함.
6과07-01,잘함,2,온도계를 이용해 물체의 온도를 측정하고 사용법을 설명함.
6과07-01,보통,1,온도가 물체의 따뜻하고 차가운 정도를 나타냄을 알아감.
6과07-01,보통,2,온도계가 온도를 재는 도구임을 이해하며 관심을 보임.
6과07-02,매우잘함,1,온도가 다른 두 물체의 접촉 시 온도 변화를 관찰하고 열의 이동으로 그 원인을 추리하여 설명함.
6과07-02,매우잘함,2,두 물체 사이 온도 변화의 원인을 열 이동 개념으로 논리적으로 추론하여 설명함.
6과07-02,잘함,1,온도가 다른 두 물체의 온도 변화를 관찰하고 시간에 따른 특징을 설명함.
6과07-02,잘함,2,접촉한 두 물체의 온도 변화를 관찰하여 그 특징을 파악함.
6과07-02,보통,1,온도가 다른 두 물체가 접촉하면 온도가 변한다는 사실을 말함.
6과07-02,보통,2,두 물체의 온도 변화 관찰 활동에 관심을 가지고 참여함.
6과07-03,매우잘함,1,열의 이동으로 나타나는 다양한 현상을 분류하고 이동 방식별 특징을 비교하여 설명함.
6과07-03,매우잘함,2,열이 이동하는 여러 방식을 실험으로 구분하고 각 방식의 특징을 체계적으로 비교함.
6과07-03,잘함,1,열의 이동으로 나타나는 현상을 관찰하여 이동 방식이 다양함을 설명함.
6과07-03,잘함,2,열의 이동 현상을 관찰하고 그 방식의 다양함을 파악함.
6과07-03,보통,1,주위에서 열의 이동으로 나타나는 현상들을 찾아봄.
6과07-03,보통,2,열의 이동 현상 관찰 활동에 흥미를 가지고 참여함.
6과07-04,매우잘함,1,단열 사례를 열의 이동 방식과 관련지어 설명하고 온도 유지 장치를 창의적으로 제작함.
6과07-04,매우잘함,2,열의 이동 원리를 응용하여 온도를 오래 유지하는 장치를 독창적으로 설계하고 완성함.
6과07-04,잘함,1,단열이 이용되는 예를 조사하고 온도를 일정하게 유지하는 장치를 만듦.
6과07-04,잘함,2,단열 사례를 조사하여 온도 유지 장치를 제작함.
6과07-04,보통,1,온도를 일정하게 유지할 수 있는 장치의 예를 찾아 필요성을 말함.
6과07-04,보통,2,단열과 온도 유지 장치에 관심을 가지고 조사에 참여함.
6과08-01,매우잘함,1,생활 속 다양한 자원을 조사하고 자원의 유한함과 효율적 사용을 관련지어 설명함.
6과08-01,매우잘함,2,다양한 자원의 활용 사례를 조사하여 유한성과 효율적 이용의 필요성을 논리적으로 설명함.
6과08-01,잘함,1,주위에서 이용하는 자원을 조사하고 자원이 유한하다는 것을 말함.
6과08-01,잘함,2,생활 속 자원의 종류를 조사하여 유한성을 설명함.
6과08-01,보통,1,주위에서 이용하고 있는 자원의 예를 말함.
6과08-01,보통,2,자원의 종류와 쓰임에 관심을 가지고 조사에 참여함.
6과08-02,매우잘함,1,주위에서 활용되는 재생에너지의 종류를 조사하고 지속가능한 이용 방법에 깊은 관심을 가짐.
6과08-02,매우잘함,2,재생에너지 활용 사례를 폭넓게 조사하고 지속가능한 이용 방법을 적극적으로 탐색함.
6과08-02,잘함,1,재생에너지의 종류와 활용되는 예를 조사하여 말함.
6과08-02,잘함,2,재생에너지의 종류를 조사하여 활용 사례를 설명함.
6과08-02,보통,1,재생에너지의 의미를 말함.
6과08-02,보통,2,재생에너지에 관심을 가지고 조사 활동에 참여함.
6과08-03,매우잘함,1,자원과 에너지를 효율적으로 이용하는 방법을 탐색하고 다양한 실천 사례를 공유함.
6과08-03,매우잘함,2,자원과 에너지 절약 방법을 다각도로 탐색하여 실생활 실천 사례를 풍부하게 공유함.
6과08-03,잘함,1,자원과 에너지를 효율적으로 이용하는 방법을 조사하고 실천 사례를 말함.
6과08-03,잘함,2,자원과 에너지 절약 방법을 조사하여 실천 사례를 제시함.
6과08-03,보통,1,자원과 에너지의 소중함과 효율적 활용의 필요성을 말함.
6과08-03,보통,2,자원과 에너지 절약에 관심을 가지고 참여함.
6과09-01,매우잘함,1,지시약을 넣었을 때 나타나는 색깔 변화를 관찰하여 산성 용액과 염기성 용액으로 정확히 분류함.
6과09-01,매우잘함,2,다양한 용액의 지시약 반응을 관찰하여 산성과 염기성으로 체계적으로 분류함.
6과09-01,잘함,1,지시약을 넣었을 때 나타나는 색깔 변화를 관찰하여 같은 성질의 용액끼리 모음.
6과09-01,잘함,2,용액에 지시약을 넣어 색깔 변화를 관찰하고 성질별로 구분함.
6과09-01,보통,1,용액에 지시약을 넣었을 때 나타나는 색깔 변화를 관찰함.
6과09-01,보통,2,지시약을 이용한 용액 분류 활동에 관심을 가지고 참여함.
6과09-02,매우잘함,1,산성과 염기성 용액의 성질을 관찰하고 두 용액을 섞을 때 지시약 색깔 변화로 성질 변화를 설명함.
6과09-02,매우잘함,2,산성과 염기성 용액을 혼합하는 실험을 통해 성질 변화를 논리적으로 추론하여 설명함.
6과09-02,잘함,1,산성과 염기성 용액의 성질을 관찰하고 지시약을 이용한 색깔 변화를 기술함.
6과09-02,잘함,2,산성과 염기성 용액을 섞었을 때의 색깔 변화를 관찰하여 설명함.
6과09-02,보통,1,산성 용액과 염기성 용액의 성질을 관찰하여 설명함.
6과09-02,보통,2,산성과 염기성 용액의 성질에 관심을 가지고 실험에 참여함.
6과09-03,매우잘함,1,우리 주변에서 산성 용액과 염기성 용액을 이용하는 사례를 조사하여 설명함.
6과09-03,매우잘함,2,산성과 염기성 용액의 활용 사례를 폭넓게 조사하여 논리적으로 설명함.
6과09-03,잘함,1,우리 주변에서 산성이나 염기성 용액을 이용하는 사례를 조사하여 말함.
6과09-03,잘함,2,산성과 염기성 용액의 활용 사례를 조사하여 제시함.
6과09-03,보통,1,산성 용액이나 염기성 용액을 이용하는 사례를 말함.
6과09-03,보통,2,산성과 염기성 용액의 쓰임에 관심을 가지고 참여함.
6과09-04,매우잘함,1,산성화로 인한 환경 피해의 심각성을 인식하고 관련 사례를 소개하는 자료를 만들어 공유함.
6과09-04,매우잘함,2,산성화 환경 문제를 깊이 있게 조사하여 설득력 있는 자료로 완성해 공유함.
6과09-04,잘함,1,산성화로 인한 환경 피해 사례를 조사하고 환경 문제에 관심을 가짐.
6과09-04,잘함,2,산성화로 인한 환경 피해 사례를 조사하여 정리함.
6과09-04,보통,1,산성화로 인해 환경에 피해가 생길 수 있음을 말함.
6과09-04,보통,2,산성화와 환경 문제에 관심을 가지고 조사에 참여함.
6과10-01,매우잘함,1,운동하는 물체의 사례를 관찰하여 시간에 따른 위치 변화의 특징을 이해하고 정확히 표현함.
6과10-01,매우잘함,2,다양한 물체의 운동을 관찰하여 시간에 따른 위치 변화 원리를 명확히 표현함.
6과10-01,잘함,1,운동하는 물체는 시간에 따라 위치가 변함을 관찰하여 말함.
6과10-01,잘함,2,물체의 운동 사례를 관찰하여 위치 변화를 설명함.
6과10-01,보통,1,운동하는 물체의 위치가 변함을 말함.
6과10-01,보통,2,물체의 운동 관찰 활동에 관심을 가지고 참여함.
6과10-02,매우잘함,1,여러 물체의 이동 거리와 걸린 시간을 측정하여 속력을 구하고 단위와 함께 정확히 표현함.
6과10-02,매우잘함,2,다양한 물체의 속력을 측정하고 비교하여 단위를 포함해 체계적으로 표현함.
6과10-02,잘함,1,같은 시간 동안 물체가 이동한 거리를 측정하여 빠르기를 비교함.
6과10-02,잘함,2,물체의 이동 거리를 측정하여 빠르기의 차이를 비교함.
6과10-02,보통,1,운동하는 물체의 이동 거리와 걸린 시간을 측정함.
6과10-02,보통,2,물체의 속력 측정 활동에 관심을 가지고 참여함.
6과10-03,매우잘함,1,속력과 관련된 안전 수칙과 안전장치를 조사하여 공유하고 일상생활에서 교통안전을 실천함.
6과10-03,매우잘함,2,속력 관련 안전 수칙을 폭넓게 조사하여 이를 바탕으로 교통안전을 적극적으로 실천함.
6과10-03,잘함,1,속력과 관련된 안전 수칙과 안전장치를 조사하고 실천 행동을 말함.
6과10-03,잘함,2,속력 관련 안전 수칙을 조사하여 실천 방법을 제시함.
6과10-03,보통,1,일상생활에서 속력과 관련된 안전 수칙과 안전장치를 찾아봄.
6과10-03,보통,2,교통안전과 속력의 관계에 관심을 가지고 조사에 참여함.
6과11-01,매우잘함,1,생물의 기본 단위가 세포임을 이해하고 영구 표본을 이용해 현미경으로 세포의 핵과 세포벽을 관찰함.
6과11-01,매우잘함,2,세포의 개념을 정확히 이해하고 현미경 관찰을 통해 세포의 구조를 세밀하게 관찰함.
6과11-01,잘함,1,생물의 기본 단위가 세포임을 이해하고 현미경으로 세포의 핵을 찾음.
6과11-01,잘함,2,식물 세포 표본을 현미경으로 관찰하여 세포의 구조를 확인함.
6과11-01,보통,1,현미경 관찰을 통해 생물의 기본 단위가 세포임을 말함.
6과11-01,보통,2,세포 관찰 활동에 관심을 가지고 참여함.
6과11-02,매우잘함,1,"식물 각 기관을 관찰하고 물의 이동, 증산 작용, 광합성 산물 실험으로 기관의 연결성을 설명함."
6과11-02,매우잘함,2,다양한 실험을 통해 식물 각 기관의 구조와 기능을 이해하고 유기적 관계를 논리적으로 설명함.
6과11-02,잘함,1,식물의 각 기관을 관찰하고 실험을 통해 구조와 기능을 말함.
6과11-02,잘함,2,뿌리 줄기 잎 꽃의 구조를 관찰하여 기능을 설명함.
6과11-02,보통,1,식물을 관찰하여 뿌리 줄기 잎 꽃으로 구분함.
6과11-02,보통,2,식물의 기관 관찰 활동에 관심을 가지고 참여함.
6과11-03,매우잘함,1,여러 식물의 구조와 기능을 관찰하고 조사하여 자료를 만들어 발표하고 공유함.
6과11-03,매우잘함,2,다양한 식물의 특징을 심도 있게 조사하여 완성도 높은 자료로 공유함.
6과11-03,잘함,1,여러 가지 식물의 특징을 설명하는 자료를 만듦.
6과11-03,잘함,2,식물의 특징을 조사하여 자료로 정리함.
6과11-03,보통,1,여러 가지 식물의 특징을 말함.
6과11-03,보통,2,식물의 특징 조사 활동에 관심을 가지고 참여함.
6과12-01,매우잘함,1,남쪽 하늘 관측자 관점에서 태양과 별을 관찰 기록하고 위치 변화의 규칙성을 찾아 설명함.
6과12-01,매우잘함,2,하루 동안의 천체 관측 기록을 바탕으로 위치 변화 규칙성을 논리적으로 도출함.
6과12-01,잘함,1,하루 동안 태양과 별을 관찰 기록하여 천체의 위치 변화를 설명함.
6과12-01,잘함,2,태양과 별의 위치를 관찰하여 하루 동안의 변화를 파악함.
6과12-01,보통,1,하루 동안 태양과 별의 위치가 달라짐을 말함.
6과12-01,보통,2,태양과 별의 위치 변화 관찰 활동에 관심을 가지고 참여함.
6과12-02,매우잘함,1,지구가 자전축을 중심으로 하루에 한 바퀴 돎을 알고 낮과 밤이 생기는 이유를 모형실험으로 설명함.
6과12-02,매우잘함,2,지구의 자전 원리를 정확히 이해하고 모형실험을 통해 낮과 밤의 생성 원리를 논리적으로 설명함.
6과12-02,잘함,1,모형실험을 통해 낮과 밤이 생기는 이유를 지구의 자전으로 설명함.
6과12-02,잘함,2,지구의 자전 모형실험을 수행하여 낮과 밤의 원리를 설명함.
6과12-02,보통,1,지구의 자전에 따라 낮과 밤이 생기는 현상을 모형실험으로 관찰함.
6과12-02,보통,2,지구의 자전과 낮밤의 관계에 관심을 가지고 실험에 참여함.
6과12-03,매우잘함,1,지구의 공전을 이해하고 천체 관측 프로그램으로 계절별 별자리 변화를 관찰하여 설명함.
6과12-03,매우잘함,2,지구의 공전 원리를 정확히 이해하고 계절에 따른 별자리 변화를 논리적으로 설명함.
6과12-03,잘함,1,천체 관측 프로그램을 이용하여 계절에 따라 달라지는 별자리를 관찰함.
6과12-03,잘함,2,계절별 대표 별자리를 관측 프로그램으로 관찰함.
6과12-03,보통,1,계절에 따라 별자리가 달라진다는 것을 말함.
6과12-03,보통,2,계절별 별자리 변화에 관심을 가지고 관찰 활동에 참여함.
6과13-01,매우잘함,1,하루 동안 태양 고도 그림자 길이 기온을 측정하고 이들의 관계를 찾아 설명함.
6과13-01,매우잘함,2,태양 고도 관련 요소를 정확히 측정하고 상호 관계를 논리적으로 도출함.
6과13-01,잘함,1,하루 동안 태양 고도를 측정하고 그 변화를 설명함.
6과13-01,잘함,2,태양 고도 측정기를 이용해 하루 동안의 고도 변화를 파악함.
6과13-01,보통,1,태양 고도의 의미를 이해하고 태양 고도를 측정함.
6과13-01,보통,2,태양 고도 측정 활동에 관심을 가지고 참여함.
6과13-02,매우잘함,1,디지털 자료로 계절별 남중 고도와 낮의 길이를 조사하고 그 관계를 근거 있게 추론함.
6과13-02,매우잘함,2,계절별 자료를 폭넓게 조사하여 남중 고도와 낮의 길이 관계를 논리적으로 추론함.
6과13-02,잘함,1,디지털 자료를 활용해 계절별 남중 고도에 따라 낮의 길이가 달라짐을 설명함.
6과13-02,잘함,2,계절별 태양의 남중 고도와 낮의 길이 자료를 조사하여 설명함.
6과13-02,보통,1,디지털 자료를 활용하여 계절별 남중 고도와 낮의 길이를 조사함.
6과13-02,보통,2,계절에 따른 태양 고도 변화에 관심을 가지고 조사에 참여함.
6과13-03,매우잘함,1,계절 변화의 원인을 지구 자전축의 기울기와 공전에 따른 남중 고도 변화로 논리적으로 설명함.
6과13-03,매우잘함,2,지구의 자전축 기울기와 공전의 관계를 정확히 이해하여 계절 변화의 원인을 설명함.
6과13-03,잘함,1,계절의 변화가 지구의 자전축이 기울어진 채 공전하는 것과 관련 있음을 말함.
6과13-03,잘함,2,지구의 공전과 자전축 기울기가 계절 변화와 관련됨을 설명함.
6과13-03,보통,1,계절 변화가 지구의 자전축 기울기와 관련 있다는 것을 말함.
6과13-03,보통,2,계절 변화의 원인에 관심을 가지고 알아감.
6과14-01,매우잘함,1,물질을 섞기 전과 후의 성질을 비교하여 달라지는 변화와 달라지지 않는 변화를 논리적으로 추론함.
6과14-01,매우잘함,2,다양한 물질의 혼합 실험을 통해 성질 변화 여부를 정확히 구분하여 추론함.
6과14-01,잘함,1,서로 다른 물질을 섞은 후의 변화를 관찰하여 성질이 달라짐을 설명함.
6과14-01,잘함,2,물질을 섞기 전후를 비교 관찰하여 성질 변화를 설명함.
6과14-01,보통,1,서로 다른 물질을 섞었을 때 성질이 달라질 수 있음을 말함.
6과14-01,보통,2,물질의 성질 변화 관찰 활동에 관심을 가지고 참여함.
6과14-02,매우잘함,1,여러 연소 사례를 통해 공통적인 현상을 관찰하고 연소에 필요한 조건을 논리적으로 설명함.
6과14-02,매우잘함,2,다양한 물질의 연소 실험을 통해 공통 현상을 도출하고 연소 조건을 정확히 규명함.
6과14-02,잘함,1,물질이 타는 여러 사례를 관찰하고 공통적인 현상을 찾아 말함.
6과14-02,잘함,2,연소 사례를 관찰하여 공통된 현상을 파악함.
6과14-02,보통,1,물질이 탈 때 나타나는 현상을 관찰하여 말함.
6과14-02,보통,2,물질의 연소 현상 관찰 활동에 관심을 가지고 참여함.
6과14-03,매우잘함,1,연소 생성물 확인 실험에서 연소 전후 물질을 비교하여 성질 변화를 논리적으로 설명함.
6과14-03,매우잘함,2,연소 실험을 통해 물질의 성질 변화를 정확히 비교하고 그 원인을 설명함.
6과14-03,잘함,1,연소 생성물을 확인하는 실험에서 연소 전과 후의 물질을 비교함.
6과14-03,잘함,2,연소 전후 물질의 변화를 실험을 통해 관찰함.
6과14-03,보통,1,연소 후 생성되는 물질이 있음을 말함.
6과14-03,보통,2,연소 생성물 관찰 활동에 관심을 가지고 참여함.
6과14-04,매우잘함,1,연소 생성물로 인한 생태계 피해 사례를 수집 분석하고 해결책을 찾아 공유함.
6과14-04,매우잘함,2,연소로 인한 생태계 피해를 심도 있게 분석하여 실효성 있는 해결책을 제안함.
6과14-04,잘함,1,연소 과정에서 생성되는 물질로 인한 생태계 피해 사례를 수집하고 분석함.
6과14-04,잘함,2,연소 생성물과 생태계 피해 사례를 조사하여 정리함.
6과14-04,보통,1,연소 생성물로 인한 생태계 피해 사례가 있음을 말함.
6과14-04,보통,2,연소와 환경 피해의 관계에 관심을 가지고 참여함.
6과15-01,매우잘함,1,전구에 불이 켜지는 전기 회로에서 전지 전구 전선의 연결 특징을 논리적으로 설명함.
6과15-01,매우잘함,2,다양한 회로 연결을 실험하여 불이 켜지는 조건과 특징을 정확히 설명함.
6과15-01,잘함,1,불이 켜지는 회로와 켜지지 않는 회로를 비교하여 차이점을 찾음.
6과15-01,잘함,2,전기 회로를 비교 관찰하여 불이 켜지는 조건을 파악함.
6과15-01,보통,1,전지 전구 전선을 연결하여 전구에 불을 켤 수 있음.
6과15-01,보통,2,전기 회로 연결 활동에 관심을 가지고 참여함.
